feedback_id,student_id,department_id,date,feedback_text
1,S7732,7,2024-11-17,<b>It's decent but could use some improvement.</b>
2,S5227,5,2025-01-27,uhh I had to wait a long time to get support.
3,S8329,5,2024-10-15,<b>Facilities were outdated and not working properly.</b>
4,S1908,8,2024-12-28,uhh EXTREMELY FRUSTRATING EXPERIENCE WITH THE DEPARTMENT.
5,S2481,8,2024-12-20,I had a good experience with the support team.
6,S3637,8,2025-03-25,uhh  Clean  environment  and  well-maintained  infrastructure.
7,S4516,4,2025-03-22,The staff was really helpful and polite.
8,S3343,3,2025-05-30,Facilities were outdated and not working properly.
9,S8051,7,2025-04-23,<b>Facilities were outdated and not working properly.</b>
10,S5849,7,2025-01-21,The staff was really helpful and polite.
11,S6012,3,2024-07-20,uhh <b>Facilities were outdated and not working properly.</b>
12,S9341,3,2025-05-29,I  had  a  good  experience  with  the  support  team.
13,S2591,1,2025-03-23,uhh Facilities were great and easily accessible.
14,S2140,1,2025-04-29,I had a good experience with the support team.
15,S1580,8,2024-08-07,IT'S DECENT BUT COULD USE SOME IMPROVEMENT.
16,S3426,2,2024-12-14,I had to wait a long time to get support.
17,S2018,5,2025-03-01,"It was okay, not too baaad."
18,S5122,7,2025-04-14,<b>The staff was rude and unhelpful.</b>
19,S7487,8,2024-06-09,"uhh <b>Not much to say, it's functional.</b>"
20,S3161,3,2025-03-01,<b>Extremely frustrating experience with the department.</b>
21,S3426,2,2025-04-17,<b>Clean environment and well-maintained infrastructure.</b>
22,S7071,1,2025-04-14,I had to wait a long time to get support.
23,S6892,2,2024-09-16,It's decent but could use some improvement.
24,S4191,2,2025-06-03,I had a good experience with the support team.
25,S6254,1,2024-10-16,Facilities were outdated and not working properly.
26,S7033,5,2024-06-28,uhh  Clean  environment  and  well-maintained  infrastructure.
27,S8853,2,2024-12-02,"uhh NOTHING SPECIAL, JUST AN AVERAGE EXPERIENCE."
28,S9766,2,2024-08-10,FACILITIES WERE GREAT AND EASILY ACCESSIBLE. ðŸ˜Š
29,S2366,4,2024-08-24,<b>Facilities were outdated and not working properly.</b>
30,S3103,1,2025-04-21,It's  decent  but  could  use  some  improvement.
31,S4531,6,2024-07-14,"It was okay, not too baaad."
32,S5626,3,2025-03-21,<B>EXTREMELY FRUSTRATING EXPERIENCE WITH THE DEPARTMENT.</B>
33,S4844,5,2025-03-08,"Not much to say, it's functional."
34,S9676,1,2025-01-11,The services were fast and effective.
35,S2567,1,2024-12-22,uhh  I  HAD  TO  WAIT  A  LONG  TIME  TO  GET  SUPPORT.
36,S3524,4,2024-12-10,The services were fast and effective.
37,S8090,3,2024-10-26,"Not much to say, it's functional. ðŸ˜Š"
38,S4599,5,2024-07-10,<b>I had to wait a long time to get support. ðŸ˜Š</b>
39,S7476,4,2024-12-21,The  services  were  fast  and  effective.
40,S5637,7,2024-06-27,"Nothing special, just an average experience."
41,S4435,1,2025-05-01,The staff was rude and unhelpful.
42,S1516,3,2024-07-31,Facilities were outdated and not working properly.
43,S1151,2,2024-08-20,Facilities  were  outdated  and  not  working  properly.  ðŸ˜Š
44,S2400,2,2024-09-05,EXTREMELY FRUSTRATING EXPERIENCE WITH THE DEPARTMENT.
45,S9445,6,2025-03-25,"Nothing special, just an average experience."
46,S4843,3,2024-09-27,uhh Facilities were great and easily accessible.
47,S4737,6,2024-10-29,<b>I had to wait a long time to get support.</b>
48,S9446,5,2024-12-17,The  staff  was  really  helpful  and  polite.  ðŸ˜Š
49,S2113,6,2024-09-23,I had a good experience with the support team.
50,S6577,8,2024-08-26,THE STAFF WAS RUDE AND UNHELPFUL. ðŸ˜Š
51,S5997,5,2024-11-26,"Nothing  special,  just  an  average  experience.  ðŸ˜Š"
52,S7697,5,2025-03-10,<b>Very poor service and delayed response. ðŸ˜Š</b>
53,S9450,3,2024-10-05,uhh <b>The services were fast and effective. ðŸ˜Š</b>
54,S1882,2,2024-11-01,VERY POOR SERVICE AND DELAYED RESPONSE.
55,S5567,7,2025-01-06,Clean environment and well-maintained infrastructure.
56,S9445,5,2025-02-13,uhh The staff was really helpful and polite.
57,S7790,2,2025-04-20,Clean environment and well-maintained infrastructure.
58,S9290,2,2025-03-28,The staff was rude and unhelpful.
59,S4999,5,2024-06-17,uhh <b>Very poor service and delayed response.</b>
60,S8789,3,2024-07-30,uhh I had a good experience with the support team. ðŸ˜Š
61,S3225,1,2025-03-02,I had to wait a long time to get support.
62,S3814,3,2024-08-07,THE STAFF WAS RUDE AND UNHELPFUL.
63,S4445,5,2024-10-21,uhh Very poor service and delayed response.
64,S5260,8,2024-10-02,uhh I had to wait a long time to get support.
65,S2796,8,2024-10-21,uhh  I  had  a  good  experience  with  the  support  team.
66,S7841,7,2025-01-26,uhh <b>Facilities were great and easily accessible.</b>
67,S9341,3,2025-05-07,Very poor service and delayed response.
68,S7841,5,2024-08-04,<b>I  had  to  wait  a  long  time  to  get  support.  ðŸ˜Š</b>
69,S8619,5,2024-06-07,<b>Clean  environment  and  well-maintained  infrastructure.</b>
70,S7975,7,2025-01-01,Facilities were outdated and not working properly.
71,S4531,2,2025-05-17,<B>I HAD TO WAIT A LONG TIME TO GET SUPPORT.</B>
72,S1251,8,2024-11-28,I  had  to  wait  a  long  time  to  get  support.
73,S5166,4,2024-08-14,uhh  It's  decent  but  could  use  some  improvement.  ðŸ˜Š
74,S3520,5,2025-05-11,<b>Extremely frustrating experience with the department. ðŸ˜Š</b>
75,S3025,8,2025-01-27,Facilities were outdated and not working properly. ðŸ˜Š
76,S7476,6,2024-10-28,uhh The staff was really helpful and polite.
77,S4445,6,2025-02-27,The  services  were  fast  and  effective.
78,S3814,8,2025-01-17,THE SERVICES WERE FAST AND EFFECTIVE.
79,S5974,6,2025-05-03,uhh THE SERVICES WERE FAST AND EFFECTIVE.
80,S7071,7,2024-07-03,Extremely frustrating experience with the department.
81,S5203,6,2024-12-17,I had a good experience with the support team.
82,S1580,2,2024-06-16,<b>It's decent but could use some improvement.</b>
83,S7697,2,2025-01-21,FACILITIES WERE OUTDATED AND NOT WORKING PROPERLY.
84,S4463,3,2024-11-02,Extremely frustrating experience with the department.
85,S9445,7,2024-10-30,The services were fast and effective.
86,S5394,2,2025-05-20,EXTREMELY FRUSTRATING EXPERIENCE WITH THE DEPARTMENT. ðŸ˜Š
87,S6024,1,2025-03-01,<b>Facilities were great and easily accessible.</b>
88,S2591,1,2025-02-16,uhh <b>It's decent but could use some improvement.</b>
89,S3418,8,2024-06-11,uhh I had to wait a long time to get support. ðŸ˜Š
90,S4510,4,2024-12-20,uhh <b>I had a goood experience with the support team. ðŸ˜Š</b>
91,S7071,4,2024-07-31,Clean environment and well-maintained infrastructure.
92,S4516,6,2024-11-03,Extremely frustrating experience with the department.
93,S5662,5,2025-03-19,Very poor service and delayed response.
94,S4445,8,2025-05-26,I had to wait a long time to get support. ðŸ˜Š
95,S7917,7,2024-10-31,"<B>NOTHING SPECIAL, JUST AN AVERAGE EXPERIENCE.</B>"
96,S4445,8,2024-11-05,The staff was rude and unhelpful.
97,S3088,7,2024-12-28,<b>The services were fast and effective.</b>
98,S2018,1,2024-09-08,<b>Extremely frustrating experience with the department.</b>
99,S3000,7,2025-05-24,Facilities were outdated and not working properly.
100,S5637,8,2025-03-21,The services were fast and effective.
101,S6300,7,2024-11-12,<b>Facilities  were  great  and  easily  accessible.  ðŸ˜Š</b>
102,S6215,4,2024-12-18,uhh Clean environment and well-maintained infrastructure.
103,S8967,6,2025-02-24,The system works fine most of the time. ðŸ˜Š
104,S5974,8,2024-12-02,Facilities were outdated and not working properly.
105,S8857,2,2024-08-22,The staff was rude and unhelpful. ðŸ˜Š
106,S6024,2,2024-12-23,Clean  environment  and  well-maintained  infrastructure.  ðŸ˜Š
107,S2140,2,2024-06-20,uhh Facilities were great and easily accessible. ðŸ˜Š
108,S5731,1,2024-10-12,The system works fine most of the time.
109,S4101,1,2024-07-27,Facilities were great and easily accessible. ðŸ˜Š
110,S7575,6,2025-02-22,uhh <b>The system works fine most of the time.</b>
111,S5203,4,2025-01-11,uhh I had to wait a long time to get support.
112,S4191,5,2025-04-15,uhh I had to wait a long time to get support.
113,S7720,3,2024-11-25,Extremely frustrating experience with the department. ðŸ˜Š
114,S5731,7,2025-04-24,uhh <b>I had to wait a long time to get support.</b>
115,S3814,6,2025-03-06,uhh <B>FACILITIES WERE OUTDATED AND NOT WORKING PROPERLY.</B>
116,S3025,5,2025-06-04,uhh <b>The services were fast and effective.</b>
117,S9370,8,2025-04-30,<b>I had a good experience with the support team.</b>
118,S7071,5,2025-05-20,The services were fast and effective.
119,S6540,4,2024-08-01,I  HAD  TO  WAIT  A  LONG  TIME  TO  GET  SUPPORT.  ðŸ˜Š
120,S4683,4,2025-05-09,Extremely frustrating experience with the department.
121,S2396,6,2024-09-10,"<b>Nothing special, just an average experience. ðŸ˜Š</b>"
122,S1737,5,2025-01-05,The  staff  was  really  helpful  and  polite.
123,S2315,8,2024-09-01,Facilities were great and easily accessible.
124,S5260,6,2024-10-04,Clean environment and well-maintained infrastructure.
125,S6012,7,2024-08-08,uhh <b>Extremely frustrating experience with the department.</b>
126,S3059,2,2024-09-30,I had a good experience with the support team.
127,S2445,2,2024-11-03,"Not much to say, it's functional."
128,S4844,7,2024-06-20,Clean environment and well-maintained infrastructure.
129,S7033,2,2024-10-28,I HAD A GOOOD EXPERIENCE WITH THE SUPPORT TEAM.
130,S8336,6,2024-11-28,uhh  The  system  works  fine  most  of  the  time.
131,S5122,7,2024-09-28,"uhh Not much to say, it's functional. ðŸ˜Š"
132,S9472,1,2024-12-19,Facilities were great and easily accessible.
133,S3225,7,2024-07-17,Clean environment and well-maintained infrastructure.
134,S5567,1,2024-07-20,The  staff  was  rude  and  unhelpful.
135,S7558,5,2025-04-15,"Nothing special, just an average experience. ðŸ˜Š"
136,S9450,4,2024-10-20,uhh I had a good experience with the support team.
137,S3565,2,2024-12-05,THE  SYSTEM  WORKS  FINE  MOST  OF  THE  TIME.
138,S5203,8,2024-08-28,uhh  Very  poor  service  and  delayed  response.
139,S8243,8,2025-05-17,"Nothing special, just an average experience."
140,S1428,5,2025-05-23,I HAD TO WAIT A LONG TIME TO GET SUPPORT.
141,S5846,8,2025-01-02,uhh <B>THE STAFF WAS RUDE AND UNHELPFUL.</B>
142,S5637,7,2024-06-05,I had to wait a long time to get support. ðŸ˜Š
143,S4683,1,2024-07-06,"<B>IT WAS OKAY, NOT TOO BAAAD.</B>"
144,S2384,6,2025-01-15,"It was okay, not too bad."
145,S2018,7,2024-11-09,"Nothing special, just an average experience."
146,S2742,2,2025-04-01,"It was okay, not too baaad."
147,S6731,2,2024-08-06,uhh <b>Very poor service and delayed response.</b>
148,S7743,7,2025-01-04,Facilities were outdated and not working properly.
149,S3586,3,2024-08-30,The  staff  was  really  helpful  and  polite.  ðŸ˜Š
150,S6024,3,2024-10-02,"It was okay, not too bad."
151,S7416,3,2025-05-29,"uhh It was okay, not too bad."
152,S7558,2,2024-09-02,I HAD A GOOD EXPERIENCE WITH THE SUPPORT TEAM.
153,S8211,4,2025-05-12,"uhh IT WAS OKAY, NOT TOO BAAAD. ðŸ˜Š"
154,S4435,7,2024-07-06,uhh The staff was really helpful and polite.
155,S7863,5,2024-10-02,CLEAN ENVIRONMENT AND WELL-MAINTAINED INFRASTRUCTURE.
156,S5949,1,2025-04-22,<B>I HAD TO WAIT A LONG TIME TO GET SUPPORT.</B>
157,S1100,2,2024-09-18,I had a good experience with the support team.
158,S3011,1,2024-11-30,The staff was rude and unhelpful.
159,S1954,1,2024-08-02,"Not much to say, it's functional."
160,S8243,6,2025-06-01,"<B>NOT MUCH TO SAY, IT'S FUNCTIONAL.</B>"
161,S7033,1,2024-12-31,THE SERVICES WERE FAST AND EFFECTIVE.
162,S5122,7,2024-12-16,uhh <b>Clean environment and well-maintained infrastructure.</b>
163,S2441,5,2024-12-12,The staff was really helpful and polite. ðŸ˜Š
164,S1083,4,2025-02-02,uhh Clean environment and well-maintained infrastructure.
165,S5974,6,2025-02-25,uhh I had to wait a long time to get support.
166,S3520,2,2024-09-03,IT'S DECENT BUT COULD USE SOME IMPROVEMENT.
167,S5499,4,2025-03-09,"It  was  okay,  not  too  bad.  ðŸ˜Š"
168,S6389,1,2024-08-24,"Not much to say, it's functional."
169,S3565,6,2024-12-04,Facilities were great and easily accessible.
170,S2524,7,2024-07-25,uhh  I  had  a  good  experience  with  the  support  team.
171,S6389,1,2024-10-03,uhh The staff was rude and unhelpful.
172,S8259,4,2024-09-02,Extremely frustrating experience with the department.
173,S9472,4,2024-07-18,"It  was  okay,  not  too  bad."
174,S6953,7,2024-09-22,FACILITIES WERE OUTDATED AND NOT WORKING PROPERLY.
175,S2807,3,2025-04-15,<b>Clean  environment  and  well-maintained  infrastructure.</b>
176,S3170,3,2025-02-23,uhh Facilities were outdated and not working properly.
177,S8211,4,2024-07-26,The staff was rude and unhelpful.
178,S3665,2,2025-03-02,The staff was really helpful and polite.
179,S4737,5,2025-03-05,The services were fast and effective.
180,S2315,7,2024-12-31,CLEAN ENVIRONMENT AND WELL-MAINTAINED INFRASTRUCTURE.
181,S7416,6,2025-03-27,The  system  works  fine  most  of  the  time.
182,S1028,4,2024-08-09,The services were fast and effective.
183,S3617,6,2024-09-24,uhh I had to wait a long time to get support.
184,S1028,7,2025-02-01,THE  SERVICES  WERE  FAST  AND  EFFECTIVE.  ðŸ˜Š
185,S9450,2,2024-08-19,I HAD TO WAIT A LONG TIME TO GET SUPPORT.
186,S2660,3,2025-01-27,Facilities were great and easily accessible.
187,S2018,2,2025-04-26,Facilities were great and easily accessible.
188,S3520,6,2024-12-15,<B>CLEAN ENVIRONMENT AND WELL-MAINTAINED INFRASTRUCTURE.</B>
189,S6660,7,2024-10-01,uhh The staff was rude and unhelpful.
190,S3645,3,2024-12-09,Clean  environment  and  well-maintained  infrastructure.
191,S1200,7,2025-01-21,Very poor service and delayed response.
192,S2384,4,2025-02-19,<b>The staff was really helpful and polite. ðŸ˜Š</b>
193,S7790,6,2024-07-10,Clean  environment  and  well-maintained  infrastructure.
194,S4101,4,2024-08-03,I had a good experience with the support team.
195,S2321,3,2024-07-14,The staff was really helpful and polite.
196,S7975,8,2025-02-23,Facilities were great and easily accessible.
197,S6743,5,2024-07-26,<b>I  had  to  wait  a  long  time  to  get  support.  ðŸ˜Š</b>
198,S4531,8,2024-09-21,I HAD TO WAIT A LONG TIME TO GET SUPPORT.
199,S6610,1,2024-06-21,Clean environment and well-maintained infrastructure.
200,S4577,1,2025-05-03,Extremely  frustrating  experience  with  the  department.
201,S5731,4,2024-08-30,"NOT MUCH TO SAY, IT'S FUNCTIONAL."
202,S3225,6,2024-12-27,uhh The staff was rude and unhelpful.
203,S5122,2,2024-12-13,uhh I had to wait a long time to get support. ðŸ˜Š
204,S7839,3,2024-11-12,The  staff  was  really  helpful  and  polite.
205,S2445,6,2024-07-02,uhh <b>The services were fast and effective.</b>
206,S5709,4,2025-05-29,Facilities were outdated and not working properly.
207,S6126,7,2024-08-20,uhh  Very  poor  servise  and  delayed  response.  ðŸ˜Š
208,S9472,8,2025-04-26,uhh  <b>The  services  were  fast  and  effective.</b>
209,S4543,1,2025-05-26,"Nothing special, just an average experience."
210,S2796,1,2024-10-03,It's decent but could use some improvement. ðŸ˜Š
211,S8561,4,2024-12-23,Extremely frustrating experience with the department. ðŸ˜Š
212,S8853,3,2025-05-19,Facilities  were  great  and  easily  accessible.
213,S2524,4,2025-02-23,uhh <b>I had to wait a long time to get support.</b>
214,S3161,5,2024-11-19,The  staff  was  really  helpful  and  polite.
215,S7790,6,2025-05-24,<b>The staff was rude and unhelpful. ðŸ˜Š</b>
216,S1713,7,2025-01-07,Clean environment and well-maintained infrastructure.
217,S2075,5,2024-12-29,THE STAFF WAS REALLY HELPFUL AND POLITE. ðŸ˜Š
218,S2742,6,2024-12-13,<b>Facilities were outdated and not working properly.</b>
219,S2829,8,2025-02-24,IT'S DECENT BUT COULD USE SOME IMPROVEMENT. ðŸ˜Š
220,S4638,2,2024-12-12,The system works fine most of the time. ðŸ˜Š
221,S6953,6,2024-07-31,"uhh Not much to say, it's functional."
222,S8619,2,2024-09-15,uhh Facilities were great and easily accessible.
223,S7071,4,2024-11-27,IT'S  DECENT  BUT  COULD  USE  SOME  IMPROVEMENT.
224,S5567,2,2024-10-27,Clean environment and well-maintained infrastructure.
225,S2567,7,2025-03-25,Extremely frustrating experience with the department.
226,S5694,5,2025-03-23,I  had  to  wait  a  long  time  to  get  support.
227,S1737,8,2024-12-25,I had to wait a long time to get support.
228,S8836,8,2025-01-04,It's decent but could use some improvement. ðŸ˜Š
229,S6953,6,2024-10-08,The services were fast and effective.
230,S4752,4,2024-06-11,"Nothing special, just an average experience."
231,S7697,7,2024-12-17,"Nothing special, just an average experience. ðŸ˜Š"
232,S3745,1,2024-08-18,uhh The system works fine most of the time.
233,S6699,5,2025-02-14,FACILITIES  WERE  OUTDATED  AND  NOT  WORKING  PROPERLY.
234,S9742,5,2025-02-11,I HAD A GOOD EXPERIENCE WITH THE SUPPORT TEAM.
235,S4314,4,2024-07-20,The services were fast and effective.
236,S2652,1,2025-03-19,<b>Facilities were great and easily accessible.</b>
237,S5174,6,2025-03-31,Extremely frustrating experience with the department.
238,S6389,3,2025-04-15,I had to wait a long time to get support.
239,S7713,2,2024-12-27,<b>Facilities  were  outdated  and  not  working  properly.</b>
240,S2923,5,2024-10-23,VERY POOR SERVICE AND DELAYED RESPONSE. ðŸ˜Š
241,S7841,4,2025-04-02,The staff was rude and unhelpful.
242,S3161,2,2024-12-04,"uhh Not much to say, it's functional."
243,S2321,6,2024-10-06,"It was okay, not too bad."
244,S9676,6,2024-09-24,THE STAFF WAS RUDE AND UNHELPFUL. ðŸ˜Š
245,S1970,8,2025-05-31,The  staff  was  rude  and  unhelpful.
246,S3814,5,2024-07-02,The staff was really helpful and polite. ðŸ˜Š
247,S9676,1,2024-11-01,<b>I had a good experience with the support team.</b>
248,S4510,5,2025-01-12,Facilities were outdated and not working properly.
249,S4436,6,2025-05-01,Facilities were great and easily accessible. ðŸ˜Š
250,S8955,2,2024-06-23,Very poor service and delayed response. ðŸ˜Š
251,S7458,1,2024-12-18,<b>The staff was rude and unhelpful. ðŸ˜Š</b>
252,S3745,4,2024-07-07,FACILITIES WERE OUTDATED AND NOT WORKING PROPERLY.
253,S4737,6,2025-03-20,"uhh It was okay, not too baaad. ðŸ˜Š"
254,S4295,2,2025-05-29,The services were fast and effective.
255,S8900,3,2024-11-08,<b>Extremely  frustrating  experience  with  the  department.</b>
256,S6157,6,2025-04-01,I had a goood experience with the support team.
257,S2742,1,2024-08-21,The services were fast and effective.
258,S5933,3,2025-04-05,I had to wait a long time to get support.
259,S3721,8,2025-04-29,THE STAFF WAS REALLY HELPFUL AND POLITE.
260,S6140,5,2024-10-22,"NOTHING  SPECIAL,  JUST  AN  AVERAGE  EXPERIENCE.  ðŸ˜Š"
261,S5637,1,2024-07-29,I had to wait a long time to get support.
262,S5982,6,2024-08-31,"NOTHING SPECIAL, JUST AN AVERAGE EXPERIENCE."
263,S2822,4,2024-11-27,It's  decent  but  could  use  some  improvement.
264,S4999,5,2024-10-31,I had to wait a long time to get support.
265,S3524,5,2024-09-23,FACILITIES WERE GREAT AND EASILY ACCESSIBLE.
266,S6906,7,2024-07-17,Very poor service and delayed response.
267,S8336,6,2025-04-28,THE STAFF WAS REALLY HELPFUL AND POLITE.
268,S3343,8,2024-07-31,I  HAD  A  GOOD  EXPERIENCE  WITH  THE  SUPPORT  TEAM.
269,S5858,5,2024-09-24,uhh The staff was really helpful and polite.
270,S4704,8,2025-03-30,I HAD A GOOD EXPERIENCE WITH THE SUPPORT TEAM.
271,S7476,3,2025-03-16,<b>The  system  works  fine  most  of  the  time.</b>
272,S7416,8,2024-11-08,It's decent but could use some improvement.
273,S1758,8,2025-01-27,Facilities were outdated and not working properly.
274,S4510,4,2024-10-06,EXTREMELY FRUSTRATING EXPERIENCE WITH THE DEPARTMENT.
275,S3059,6,2025-02-23,Clean  environment  and  well-maintained  infrastructure.
276,S3637,7,2025-01-25,The system works fine most of the time.
277,S8853,7,2025-01-25,Very  poor  service  and  delayed  response.
278,S4295,8,2025-04-12,<b>The  services  were  fast  and  effective.</b>
279,S1432,8,2025-05-02,The staff was rude and unhelpful.
280,S8259,2,2024-09-05,Clean environment and well-maintained infrastructure.
281,S2441,4,2024-07-22,uhh The services were fast and effective.
282,S1855,5,2025-02-19,I  had  to  wait  a  long  time  to  get  support.  ðŸ˜Š
283,S1028,7,2024-06-13,uhh The system works fine most of the time.
284,S2567,5,2024-10-09,<b>The services were fast and effective.</b>
285,S9184,7,2024-10-19,Clean environment and well-maintained infrastructure.
286,S2140,7,2024-09-03,<B>THE STAFF WAS RUDE AND UNHELPFUL.</B>
287,S3721,3,2024-12-25,The system works fine most of the time.
288,S4516,6,2024-10-17,The services were fast and effective.
289,S4101,1,2025-03-14,Facilities  were  outdated  and  not  working  properly.
290,S2384,6,2025-03-01,The staff was rude and unhelpful.
291,S4101,2,2024-11-11,<B>FACILITIES  WERE  OUTDATED  AND  NOT  WORKING  PROPERLY.  ðŸ˜Š</B>
292,S8051,3,2024-06-10,uhh <b>I had a good experience with the support team.</b>
293,S4045,8,2024-11-27,uhh  <b>It's  decent  but  could  use  some  improvement.</b>
294,S2286,6,2025-01-16,Extremely frustrating experience with the department.
295,S6126,5,2025-02-01,<B>CLEAN ENVIRONMENT AND WELL-MAINTAINED INFRASTRUCTURE.</B>
296,S5567,1,2024-11-13,Extremely frustrating experience with the department.
297,S1552,4,2025-05-14,I had a goood experience with the support team. ðŸ˜Š
298,S2061,1,2025-01-07,Very poor servise and delayed response.
299,S9387,6,2025-02-24,Very poor service and delayed response. ðŸ˜Š
300,S6113,6,2024-09-25,<b>The services were fast and effective.</b>
301,S9290,7,2025-05-09,uhh The system works fine most of the time.
302,S4090,8,2024-11-23,<b>Extremely  frustrating  experience  with  the  department.</b>
303,S1450,4,2024-09-09,Extremely frustrating experience with the department. ðŸ˜Š
304,S3161,7,2024-10-22,The  staff  was  rude  and  unhelpful.
305,S4554,5,2024-06-30,Facilities were outdated and not working properly.
306,S3059,3,2025-02-09,The services were fast and effective.
307,S1251,8,2025-01-13,"Not  much  to  say,  it's  functional."
308,S5499,4,2025-04-15,uhh The services were fast and effective.
309,S4314,2,2024-07-20,The staff was really helpful and polite.
310,S5260,8,2025-02-27,"uhh It was okay, not too baaad."
311,S2742,8,2024-10-14,The staff was rude and unhelpful.
312,S4844,6,2024-12-24,Very  poor  service  and  delayed  response.
313,S2796,7,2025-02-01,Clean  environment  and  well-maintained  infrastructure.
314,S1107,2,2025-01-25,<b>Facilities were outdated and not working properly.</b>
315,S4295,8,2024-07-24,uhh Facilities were great and easily accessible.
316,S3418,8,2024-10-18,<b>Extremely frustrating experience with the department.</b>
317,S3426,8,2024-07-03,I had a good experience with the support team.
318,S7575,2,2024-09-17,CLEAN ENVIRONMENT AND WELL-MAINTAINED INFRASTRUCTURE.
319,S6392,6,2025-03-28,"<B>NOT MUCH TO SAY, IT'S FUNCTIONAL.</B>"
320,S2660,2,2024-07-17,The staff was really helpful and polite.
321,S8211,5,2025-02-11,Extremely frustrating experience with the department. ðŸ˜Š
322,S9450,6,2024-10-31,The  staff  was  really  helpful  and  polite.
323,S8003,1,2025-04-08,Facilities were great and easily accessible. ðŸ˜Š
324,S3343,6,2025-05-14,Facilities were great and easily accessible. ðŸ˜Š
325,S3059,6,2025-04-18,"Not much to say, it's functional."
326,S7071,3,2025-05-17,The staff was really helpful and polite.
327,S1626,3,2025-05-07,Facilities were great and easily accessible.
328,S5428,8,2024-10-22,The services were fast and effective.
329,S6953,8,2025-02-15,Facilities  were  great  and  easily  accessible.
330,S1740,8,2024-06-06,"<B>NOT MUCH TO SAY, IT'S FUNCTIONAL.</B>"
331,S9446,1,2024-10-03,THE SYSTEM WORKS FINE MOST OF THE TIME.
332,S2018,8,2024-07-08,"<b>It  was  okay,  not  too  bad.  ðŸ˜Š</b>"
333,S6540,5,2024-08-05,Facilities  were  outdated  and  not  working  properly.
